RealLabel,PredictLabel,PredictLabelProbability,RealLabelProbability,AllProbability
0,0,0.98529106,0.98529106,"0.98529106,0.014708942"
0,0,0.9705853,0.9705853,"0.9705853,0.02941473"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,1,0.9264679,0.0735321,"0.0735321,0.9264679"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,1,0.57352895,0.42647105,"0.42647105,0.57352895"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.6764695,0.6764695,"0.6764695,0.32353052"
0,1,0.95587945,0.04412052,"0.04412052,0.95587945"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.57352895,0.57352895,"0.57352895,0.42647105"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.95587945,0.95587945,"0.95587945,0.04412052"
0,0,0.8676447,0.8676447,"0.8676447,0.13235526"
0,0,0.85293895,0.85293895,"0.85293895,0.14706105"
0,1,0.85293895,0.14706105,"0.14706105,0.85293895"
0,0,0.95587945,0.95587945,"0.95587945,0.04412052"
0,0,0.9411737,0.9411737,"0.9411737,0.05882631"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,1,0.6029405,0.39705947,"0.39705947,0.6029405"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.72058684,0.72058684,"0.72058684,0.27941316"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.9999969,0.9999969,"0.9999969,3.1060144E-6"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.98529106,0.98529106,"0.98529106,0.014708942"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.9117621,0.9117621,"0.9117621,0.08823789"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,1,0.72058684,0.27941316,"0.27941316,0.72058684"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.98529106,0.98529106,"0.98529106,0.014708942"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.99999684,0.99999684,"0.99999684,3.1516909E-6"
0,0,0.98529106,0.98529106,"0.98529106,0.014708942"
0,1,0.5507243,0.44927567,"0.44927567,0.5507243"
0,0,0.98529106,0.98529106,"0.98529106,0.014708942"
