k,mean accuracy,mean log loss
1,0.9708673,1.84E-04
2,0.965083,0.010922551
3,0.96604383,0.014660051
4,0.9644965,0.02062587
5,0.961026,0.020717878
6,0.95755273,0.02204046
7,0.9558166,0.022896146
8,0.9540777,0.024297163
9,0.9527292,0.024983881
10,0.9523447,0.026884904
11,0.95041573,0.027244294
12,0.9496509,0.028905679
13,0.94675654,0.02790758
14,0.9452152,0.02853689
15,0.9407735,0.026617676
16,0.9403845,0.027622
17,0.94154435,0.029249609
18,0.9409636,0.02980281
19,0.9423164,0.031207427
20,0.9428956,0.032423757
21,0.94347477,0.03349763
22,0.94328177,0.034443602
23,0.94154423,0.03425064
24,0.94174033,0.035569783
25,0.9400012,0.035179015
26,0.94057906,0.036545463
27,0.9399969,0.03725604
28,0.93922913,0.038119324
29,0.9378762,0.038578082
30,0.9376832,0.039644998
31,0.93633187,0.03991801
32,0.93671787,0.041358836
33,0.93594426,0.041972306
34,0.9357527,0.043443788
35,0.93459445,0.04391467
36,0.93286145,0.04396177
37,0.93286145,0.045043718
38,0.93247527,0.045671307
39,0.9317061,0.046008658
40,0.9330574,0.047846567
41,0.9311285,0.04766018
42,0.93093693,0.04861047
43,0.92862034,0.047955565
44,0.92862165,0.048740342
45,0.9276565,0.04919698
46,0.92727184,0.04996805
47,0.92611504,0.05012356
48,0.9268857,0.05144375
49,0.9257305,0.05134036
50,0.9259219,0.05214274
51,0.9234123,0.05099032
52,0.92302924,0.05139184
53,0.9205224,0.05025683
54,0.92090714,0.05110795
55,0.91763115,0.049281843
56,0.9172465,0.04935106
57,0.915126,0.048241973
58,0.9149329,0.048364863
59,0.91223174,0.046756186
60,0.91223174,0.047057964
61,0.91030264,0.046102814
62,0.91107494,0.046901636
63,0.90856826,0.045350462
64,0.9091474,0.046141993
65,0.90818214,0.045819916
66,0.9085682,0.046269584
67,0.90760297,0.045861058
68,0.907989,0.04633925
69,0.9070238,0.045857012
70,0.90740997,0.04630007
71,0.9066391,0.046046026
72,0.9068322,0.046392053
73,0.90567386,0.04588665
74,0.9058669,0.046172433
75,0.9045156,0.04542031
76,0.9049002,0.04590396
77,0.9043225,0.04574261
78,0.9050933,0.046630885
79,0.9035503,0.04587322
80,0.9041295,0.046612747
81,0.90277827,0.04593231
82,0.9039365,0.047078155
83,0.90316427,0.046969756
84,0.9033573,0.047584943
85,0.90335876,0.04792214
86,0.90335876,0.048282273
87,0.902588,0.04805086
88,0.9029741,0.04863762
89,0.90239495,0.048509143
90,0.90316427,0.049256645
91,0.90200883,0.048667584
92,0.9023935,0.04918801
93,0.9008506,0.0482425
94,0.9008506,0.04841012
95,0.9010436,0.048637025
96,0.90123665,0.04888101
97,0.90065897,0.048620764
98,0.90104514,0.049008545
99,0.90046597,0.048730183
100,0.9004661,0.04888388
101,0.9004661,0.048977155
102,0.9006591,0.049217988
103,0.90008,0.048945855
104,0.9006591,0.049423847
105,0.89988834,0.04903675
106,0.900273,0.049414173
107,0.8998869,0.04933255
108,0.90027297,0.049783982
109,0.9000799,0.049732096
110,0.90027297,0.05006369
111,0.90027297,0.05021168
112,0.9004661,0.050477274
113,0.90027297,0.050486177
114,0.90046597,0.050706513
115,0.90027297,0.05064077
116,0.9006591,0.05093951
117,0.90027297,0.05071602
118,0.9012352,0.051497817
119,0.9000799,0.050742555
120,0.9004661,0.05105158
121,0.9004661,0.05107959
122,0.90046597,0.051120274
123,0.90027297,0.051117826
124,0.9006591,0.05145384
125,0.9000799,0.05114708
126,0.900273,0.05133467
127,0.8996953,0.051049463
128,0.8993093,0.050935876
129,0.89892304,0.05071961
130,0.89930916,0.05109452
131,0.89930916,0.05117809
132,0.89930916,0.051300406
133,0.89892304,0.051050246
134,0.89930916,0.051354665
135,0.89911616,0.05125649
136,0.89930916,0.05142197
137,0.89892304,0.051232707
138,0.89892304,0.05125301
139,0.89873,0.051199585
140,0.89873,0.051382773
141,0.89873,0.051599897
142,0.89873,0.051789485
143,0.898537,0.0518799
144,0.898537,0.052090567
145,0.8983439,0.052196432
146,0.8983439,0.05243395
147,0.8981508,0.05256493
148,0.8981508,0.052845098
149,0.8981508,0.05314132
150,0.8981508,0.05339226
151,0.8983439,0.05384217
152,0.898537,0.05423241
153,0.898537,0.054453082
154,0.8983439,0.054505892
155,0.8981508,0.0545929
156,0.8981508,0.05480484
157,0.8981508,0.05505834
158,0.8981508,0.055272263
159,0.8981508,0.05543519
160,0.8981508,0.05567109
161,0.8981508,0.05586192
162,0.8981508,0.05605828
163,0.8981508,0.05623529
164,0.8981508,0.05649302
165,0.8977648,0.056530416
166,0.8977648,0.056790125
167,0.8977648,0.05704996
168,0.8977648,0.057339985
169,0.8977648,0.057661124
170,0.8977648,0.057928063
171,0.8977648,0.05822859
172,0.8977648,0.058529906
173,0.89757174,0.058644958
174,0.89757174,0.05893756
175,0.89757174,0.059232384
176,0.89757174,0.05949356
177,0.89757174,0.059777897
178,0.89757174,0.06007912
179,0.89757174,0.060308654
180,0.89757174,0.06057328
181,0.8971856,0.060588777
182,0.8971856,0.060900487
183,0.8971856,0.061246276
184,0.89737874,0.061728884
185,0.8971856,0.06199165
186,0.8971856,0.06236708
187,0.8971856,0.062769935
188,0.89737874,0.0632927
189,0.89737874,0.0636755
190,0.89737874,0.064085566
191,0.89737874,0.06448667
192,0.89737874,0.06486704
193,0.89737874,0.06517212
194,0.89737874,0.06551396
195,0.89737874,0.0658348
196,0.89737874,0.06614423
197,0.89737874,0.06644006
198,0.89737874,0.06669105
199,0.89737874,0.06699191
200,0.89737874,0.06731059
201,0.89737874,0.06765898
202,0.89737874,0.068008855
203,0.8971856,0.068229094
204,0.8971856,0.06853888
205,0.8971856,0.06885293
206,0.8971856,0.06918756
207,0.8971856,0.06954456
208,0.8971856,0.06988826
209,0.8971856,0.07020019
210,0.8971856,0.070541956
211,0.8971856,0.07092704
212,0.8971856,0.071260676
213,0.8971856,0.071602516
214,0.89737874,0.07206435
215,0.89737874,0.0724242
216,0.89737874,0.07277675
217,0.8973786,0.073192224
218,0.89757174,0.07373725
219,0.8973786,0.074027255
220,0.89737874,0.074425824
221,0.8971856,0.0748628
222,0.8971856,0.075337805
223,0.89699256,0.07559839
224,0.89699256,0.07603325
225,0.896801,0.07633878
226,0.896801,0.07678099
227,0.8966079,0.07709865
228,0.8966079,0.07750692
229,0.8964149,0.077787094
230,0.8960288,0.07789157
231,0.8962218,0.07835247
232,0.8962218,0.07868342
233,0.89583576,0.078739755
234,0.89583576,0.07908847
235,0.89583576,0.07934353
236,0.89564276,0.07945265
237,0.89564276,0.079686806
238,0.89544964,0.0798001
239,0.89525664,0.07987366
240,0.89525664,0.08008561
241,0.8950635,0.08014268
242,0.89544964,0.080596425
243,0.89487046,0.080385104
244,0.89487046,0.08063133
245,0.89487046,0.08080445
246,0.89487046,0.08103274
247,0.89487046,0.08126918
248,0.89487046,0.08150421
249,0.89487046,0.081711695
250,0.89487046,0.081931494
251,0.89487046,0.082126126
252,0.89487046,0.08231337
253,0.89487046,0.08251898
254,0.89487046,0.0827611
255,0.89487046,0.08303503
256,0.89487046,0.08322718
257,0.89487046,0.083451934
258,0.89487046,0.08375509
259,0.89487046,0.08405237
260,0.89487046,0.08433833
261,0.8944844,0.084340625
262,0.89467746,0.08471875
263,0.8942913,0.08475174
264,0.8942913,0.08501599
265,0.89409816,0.08515303
266,0.8942913,0.08558859
267,0.89409816,0.08568799
268,0.89409816,0.08593206
269,0.89390516,0.08609789
270,0.89390516,0.0863048
271,0.89390516,0.08654
272,0.89390516,0.086784914
273,0.89390516,0.08703839
274,0.89390516,0.08726944
275,0.89390516,0.08754805
276,0.89390516,0.08778741
277,0.89390516,0.088073246
278,0.89390516,0.08831958
279,0.89390516,0.08857401
280,0.89390516,0.088806316
281,0.893326,0.08859034
282,0.893326,0.08884136
283,0.893326,0.089077994
284,0.893326,0.089333415
285,0.8925539,0.08905318
286,0.8925539,0.08928175
287,0.8925539,0.08955609
288,0.8925539,0.08980644
289,0.8923623,0.08987341
290,0.8923623,0.09011413
291,0.8904378,0.08897779
292,0.8904378,0.089186266
293,0.8894725,0.08868438
294,0.8894725,0.08887593
295,0.88850725,0.08837481
296,0.8892795,0.08911627
297,0.8877365,0.08822979
298,0.8877365,0.08841492
299,0.8867757,0.087885156
300,0.8867757,0.08801739
301,0.8856174,0.0873131
302,0.8856174,0.08740483
303,0.884266,0.086582564
