RealLabel,PredictLabel,PredictLabelProbability,RealLabelProbability,AllProbability
0,0,1.0,1.0,"1.0,0.0"
0,0,0.96574616,0.96574616,"0.96574616,0.034253817"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,1,0.57309484,0.42690516,"0.42690516,0.57309484"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,0,0.7682699,0.7682699,"0.7682699,0.23173013"
0,0,0.9957519,0.9957519,"0.9957519,0.0042481082"
0,0,0.5882918,0.5882918,"0.5882918,0.4117082"
0,1,0.92656666,0.07343328,"0.07343328,0.92656666"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,0,0.80626595,0.80626595,"0.80626595,0.19373411"
0,0,1.0,1.0,"1.0,0.0"
0,0,0.85404205,0.85404205,"0.85404205,0.14595795"
0,0,0.96523213,0.96523213,"0.96523213,0.034767874"
0,0,0.9653804,0.9653804,"0.9653804,0.034619614"
0,0,0.63524634,0.63524634,"0.63524634,0.36475366"
0,0,0.93872005,0.93872005,"0.93872005,0.061280005"
0,0,0.9907303,0.9907303,"0.9907303,0.009269747"
0,0,1.0,1.0,"1.0,0.0"
0,0,0.74169046,0.74169046,"0.74169046,0.25830954"
0,0,1.0,1.0,"1.0,0.0"
0,0,0.87894005,0.87894005,"0.87894005,0.12105996"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,0,0.99328524,0.99328524,"0.99328524,0.0067147515"
0,0,1.0,1.0,"1.0,0.0"
0,0,0.97802866,0.97802866,"0.97802866,0.021971343"
0,0,1.0,1.0,"1.0,0.0"
0,1,0.9243634,0.07563659,"0.07563659,0.9243634"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
0,0,1.0,1.0,"1.0,0.0"
