k,mean accuracy,mean log loss,start time(ms),end time(ms),Elapsed time(ms)
1,0.98167497,0,1.54E+12,1.54E+12,2058
2,0.9812889,0.009698917,1.54E+12,1.54E+12,1725
3,0.9812889,0.014850715,1.54E+12,1.54E+12,1712
4,0.9704841,0.011755133,1.54E+12,1.54E+12,1929
5,0.973956,0.017164946,1.54E+12,1.54E+12,1943
6,0.973763,0.019862954,1.54E+12,1.54E+12,2065
7,0.97434205,0.023128618,1.54E+12,1.54E+12,2276
8,0.973956,0.025158495,1.54E+12,1.54E+12,2497
9,0.97318375,0.02669293,1.54E+12,1.54E+12,2617
10,0.97356987,0.029350087,1.54E+12,1.54E+12,2749
11,0.9704855,0.028655717,1.54E+12,1.54E+12,2792
12,0.97087157,0.030153,1.54E+12,1.54E+12,3009
13,0.97087157,0.03153852,1.54E+12,1.54E+12,3185
14,0.9712547,0.032958888,1.54E+12,1.54E+12,3367
15,0.97048396,0.03320545,1.54E+12,1.54E+12,3621
16,0.9699048,0.033689387,1.54E+12,1.54E+12,4518
17,0.96932715,0.03402292,1.54E+12,1.54E+12,5070
18,0.9695202,0.03483147,1.54E+12,1.54E+12,5023
19,0.9689425,0.035240397,1.54E+12,1.54E+12,4916
20,0.9693287,0.03602735,1.54E+12,1.54E+12,4935
21,0.96797884,0.03612355,1.54E+12,1.54E+12,5981
22,0.9672066,0.036458872,1.54E+12,1.54E+12,5816
23,0.9672066,0.03744113,1.54E+12,1.54E+12,6150
24,0.96701354,0.038269952,1.54E+12,1.54E+12,6369
25,0.96643436,0.038563244,1.54E+12,1.54E+12,6451
26,0.9666275,0.03944976,1.54E+12,1.54E+12,6827
27,0.96701354,0.040365417,1.54E+12,1.54E+12,6006
28,0.9664345,0.040624175,1.54E+12,1.54E+12,6266
29,0.9666275,0.041330528,1.54E+12,1.54E+12,7242
30,0.96643436,0.041740634,1.54E+12,1.54E+12,6419
31,0.96643436,0.04230662,1.54E+12,1.54E+12,6768
32,0.96624136,0.042626254,1.54E+12,1.54E+12,6958
33,0.9656622,0.042649418,1.54E+12,1.54E+12,7180
34,0.96527755,0.042811085,1.54E+12,1.54E+12,7821
35,0.9645053,0.042640112,1.54E+12,1.54E+12,8193
36,0.96431226,0.042904813,1.54E+12,1.54E+12,7260
37,0.9639262,0.04299577,1.54E+12,1.54E+12,7569
38,0.96411926,0.043429736,1.54E+12,1.54E+12,8693
39,0.9637332,0.04358204,1.54E+12,1.54E+12,9503
40,0.9639262,0.044268567,1.54E+12,1.54E+12,9167
41,0.9639262,0.044672035,1.54E+12,1.54E+12,9782
42,0.96392614,0.04524285,1.54E+12,1.54E+12,8782
43,0.9637331,0.045829393,1.54E+12,1.54E+12,8521
44,0.96392614,0.046557344,1.54E+12,1.54E+12,8607
45,0.963154,0.046410844,1.54E+12,1.54E+12,8939
46,0.9629609,0.04662091,1.54E+12,1.54E+12,9044
47,0.9629609,0.047006845,1.54E+12,1.54E+12,9182
48,0.963154,0.047492478,1.54E+12,1.54E+12,9115
49,0.9633471,0.048002124,1.54E+12,1.54E+12,9227
50,0.963154,0.048224512,1.54E+12,1.54E+12,9723
51,0.963154,0.048518043,1.54E+12,1.54E+12,10136
52,0.962961,0.048628543,1.54E+12,1.54E+12,9805
53,0.96257484,0.04873709,1.54E+12,1.54E+12,9850
54,0.9621887,0.048858136,1.54E+12,1.54E+12,10078
55,0.9619957,0.04901123,1.54E+12,1.54E+12,9834
56,0.96180266,0.049343064,1.54E+12,1.54E+12,10158
57,0.96160966,0.049624715,1.54E+12,1.54E+12,10473
58,0.96160966,0.050036985,1.54E+12,1.54E+12,10295
59,0.961418,0.05030678,1.54E+12,1.54E+12,10721
60,0.9612249,0.050470542,1.54E+12,1.54E+12,11506
61,0.9608389,0.05051128,1.54E+12,1.54E+12,10865
62,0.96045274,0.05053578,1.54E+12,1.54E+12,11289
63,0.96045274,0.05083462,1.54E+12,1.54E+12,11784
64,0.95987356,0.05071307,1.54E+12,1.54E+12,11277
65,0.95968056,0.050870933,1.54E+12,1.54E+12,12290
66,0.95968056,0.051108725,1.54E+12,1.54E+12,12432
67,0.95948756,0.051204838,1.54E+12,1.54E+12,12223
68,0.95968056,0.051543605,1.54E+12,1.54E+12,12244
69,0.95968056,0.051787846,1.54E+12,1.54E+12,12431
70,0.959293,0.05172181,1.54E+12,1.54E+12,12196
71,0.959293,0.051939078,1.54E+12,1.54E+12,12454
72,0.9591014,0.052019797,1.54E+12,1.54E+12,12773
73,0.9591014,0.052244775,1.54E+12,1.54E+12,12934
74,0.9592945,0.052588623,1.54E+12,1.54E+12,13460
75,0.95775,0.051731765,1.54E+12,1.54E+12,13468
76,0.95717096,0.051546603,1.54E+12,1.54E+12,13434
77,0.95717096,0.051808774,1.54E+12,1.54E+12,13958
78,0.9565917,0.05167631,1.54E+12,1.54E+12,13629
79,0.95639867,0.051784962,1.54E+12,1.54E+12,14339
80,0.95582116,0.05161593,1.54E+12,1.54E+12,13913
81,0.95562804,0.051708538,1.54E+12,1.54E+12,14927
82,0.9548558,0.05144276,1.54E+12,1.54E+12,14880
83,0.9542767,0.05122571,1.54E+12,1.54E+12,14429
84,0.95350444,0.050953038,1.54E+12,1.54E+12,15145
85,0.95350444,0.051136017,1.54E+12,1.54E+12,14938
86,0.95331144,0.051282216,1.54E+12,1.54E+12,14837
87,0.95311844,0.05168233,1.54E+12,1.54E+12,15191
88,0.9523462,0.051378705,1.54E+12,1.54E+12,15082
89,0.9517671,0.05179947,1.54E+12,1.54E+12,16093
90,0.95099485,0.05158614,1.54E+12,1.54E+12,16117
91,0.95099485,0.051914327,1.54E+12,1.54E+12,16135
92,0.95099485,0.05216121,1.54E+12,1.54E+12,16201
93,0.9502241,0.051806428,1.54E+12,1.54E+12,16290
94,0.9496479,0.051572155,1.54E+12,1.54E+12,17229
95,0.94906884,0.05132233,1.54E+12,1.54E+12,17032
96,0.9488757,0.051328737,1.54E+12,1.54E+12,17233
97,0.9488757,0.051486205,1.54E+12,1.54E+12,17763
98,0.94810355,0.051172387,1.54E+12,1.54E+12,18255
99,0.94752437,0.051050246,1.54E+12,1.54E+12,18089
100,0.9473313,0.051279772,1.54E+12,1.54E+12,18128
101,0.9473313,0.051448066,1.54E+12,1.54E+12,17868
102,0.9471383,0.051684402,1.54E+12,1.54E+12,18434
103,0.94655913,0.051855497,1.54E+12,1.54E+12,18876
104,0.94655913,0.05201177,1.54E+12,1.54E+12,19670
105,0.94578683,0.051649958,1.54E+12,1.54E+12,18691
106,0.946173,0.052297056,1.54E+12,1.54E+12,19698
107,0.94597703,0.052331865,1.54E+12,1.54E+12,19223
